POCO;G0200;G0202;G0204;G0206;G0208;G0306;G0307;G0209;G0308;G0318;G0319
1;;;;;;;;;;;
2;;;;;;;;;;;
3;;;;;;;;;;;
4;;;;;;;;;;;
5;;;;;;;;;;;
6;;;;;;;;;;;
7;;;;;;;;;;;
8;;;;;;;;;;;
9;;;;;;;;;;;
10;Ativo (bombeando);Centrífuga;;;;;;;;;
11;;;;;;;;;;;
12;;;;;;;;;;;
13;;;;;;;;;;;
14;Ativo (bombeando);Centrífuga;;;1.5;;;;;;
15;;;;;;;;;;;
16;Ativo (bombeando);Centrífuga;;;1.00;;;100;;;
17;;;;;;;;;;;
18;;;;;;;;;;;
19;;;;;;;;;;;
20;;;;;;;;;;;
21;Ativo (bombeando);Centrífuga;50;;1.00;;;;;;
22;;;;;;;;;;;
23;;;;;;;;;;;
24;;;;;;;;;;;
25;;;;;;;;;;;
26;;;;;;;;;;;
27;;;;;;;;;;;
28;;;;;;;;;;;
29;;;;;;;;;;;
30;;;;;;;;;;;
31;;;;;;;;;;;
32;;;;;;;;;;;
33;;;;;;;;;;;
34;;;;;;;;;;;
35;;;;;;;;;;;
36;;;;;;;;;;;
37;;;;;;;;;;;
38;;;;;;;;;;;
39;;;;;;;;;;;
40;;;;;;;;;;;
41;;;;;;;;;;;
42;;;;;;;;;;;
43;;;;;;;;;;;
44;;;;;;;;;;;
45;;;;;;;;;;;
46;;;;;;;;;;;
47;;;;;;;;;;;
48;;;;;;;;;;;
49;;;;;;;;;;;
50;;;;;;;;;;;
51;;;;;;;;;;;
52;;;;;;;;;;;
53;;;;;;;;;;;
54;;;;;;;;;;;
55;;;;;;;;;;;
56;;;;;;;;;;;
57;;;;;;;;;;;
58;Ativo (bombeando);;;;3.00;;;;;;
59;;;;;;;;;;;
60;;;;;;;;;;;
61;;;;;;;;;;;
62;;;;;;;;;;;
63;;;;;;;;;;;
64;;;;;;;;;;;
65;;;;;;;;;;;
66;;;;;;;;;;;
67;;;;;;;;;;;
68;;;;;;;;;;;
69;;;;;;;;;;;
70;;;;;;;;;;;
71;;;;;;;;;;;
72;;;;;;;;;;;
73;;;;;;;;;;;
74;;;;;;;;;;;
75;;;;;;;;;;;
76;;;;;;;;;;;
77;;;;;;;;;;;
78;;;;;;;;;;;
79;;;;;;;;;;;
80;Ativo (bombeando);;;;;;;;;;
81;;;;;;;;;;;
82;;;;;;;;;;;
83;;;;;;;;;;;
84;;;;;;;;;;;
85;;;;;;;;;;;
86;;;;;;;;;;;
87;;;;;;;;;;;
88;;;;;;;;;;;
89;;;;;;;;;;;
90;;;;;;;;;;;
91;;;;;;;;;;;
92;;;;;;;;;;;
93;;;;;;;;;;;
94;;;;;;;;;;;
95;;;;;;;;;;;
96;;;;;;;;;;;
97;;;;;;;;;;;
98;;;;;;;;;;;
99;;;;;;;;;;;
100;;;;;;;;;;;
101;Ativo (bombeando);Centrífuga;;;10.00;;;1000;;;
102;;;;;;;;;;;
103;Ativo (bombeando);Centrífuga;;;;;;300;;;
104;Ativo (bombeando);Centrífuga;;;;;;200;;;
105;Ativo (bombeando);Centrífuga;;;5.00;;;300;;;
106;;;;;;;;;;;
107;;;;;;;;;;;
108;;;;;;;;;;;
109;Ativo (bombeando);Centrífuga;;;7.50;;;;;;
110;;;;;;;;;;;
111;;;;;;;;;;;
112;;;;;;;;;;;
113;Ativo (bombeando);;;;3.00;;;500;;;
114;;;;;;;;;;;
115;;;;;;;;;;;
116;Ativo (bombeando);Centrífuga;;;3.00;;;600;;;
117;;Centrífuga;;;;;;;;;
118;;Centrífuga;;;;;;;;;
