MES;EF0000;EF0001;EF0002;EF0003
Janeiro;0;0;0;0
Janeiro;4;6;30;720
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;4;8;15;480
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;3;5;15;225
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;1;12;30;360
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;2;4;30;240
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;35;14;4;1960
Janeiro;0;0;;0
Janeiro;14;12;30;5040
Janeiro;35;8;12;3360
Janeiro;0;0;0;0
Janeiro;24;12;30;8640
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;14;3;24;1008
Janeiro;0;0;0;0
Janeiro;0;0;0;0
Janeiro;35;7;30;7350
Janeiro;24;9;12;2592
