USOS;H0320;H0321;H0322;H0323
1;;;;70000
2;FALSE;;;21600
3;FALSE;;;26500
4;TRUE;25000;4;39600
5;FALSE;;;73480
6;FALSE;;;19200
7;FALSE;;;140760
8;TRUE;20000;4;183600
9;FALSE;;;57960
10;TRUE;50;1.5;49680
11;TRUE;10000;3;165600
12;FALSE;;;41400
13;FALSE;;;49680
14;FALSE;;;57960
15;TRUE;12000;3.5;314.64
16;FALSE;;;24840
17;TRUE;30000;4;126.72
18;FALSE;;;107640
19;FALSE;;;316.8
20;;;;48000
21;FALSE;;;36
22;FALSE;;;79.2
23;FALSE;;;79200
24;TRUE;10000;4;70.4
25;TRUE;80000;5;42860
26;;;;
27;TRUE;80000;5;18000
28;TRUE;80000;5;12000
29;TRUE;10000;4;82800
30;TRUE;20000;4;158400
31;TRUE;15000;4;31600
32;FALSE;;;42000
33;FALSE;;;15840
34;FALSE;;;36000
35;FALSE;;;15
36;FALSE;;;21
37;FALSE;;;24.84
38;FALSE;;;165.6
39;TRUE;10000;4;50
40;FALSE;;;186.3
41;FALSE;;;16560
42;TRUE;10000;4;165600
43;FALSE;;;57960
44;FALSE;;;17890
45;FALSE;;;23.76
46;FALSE;;;23.84
47;FALSE;;;23760
48;FALSE;;;41.4
49;FALSE;;;39600
50;;;;23760
51;;;;23760
52;;;;
53;;;;158400
54;FALSE;;;11880
55;FALSE;;;55440
56;FALSE;;;47520
57;FALSE;;;29300
58;FALSE;;;31680
59;FALSE;;;39600
60;FALSE;;;180000
61;FALSE;;;27700
62;FALSE;;;117000
63;TRUE;60000;5;95400
64;TRUE;10000;3;237600
65;TRUE;60000;5;579600
66;FALSE;;;79200
67;FALSE;;;79200
68;FALSE;;;18430
69;FALSE;;;124200
70;;;;79200
71;FALSE;;;248400
72;FALSE;;;39600
73;TRUE;6000;5;41300
74;FALSE;;;53820
75;FALSE;;;49680
76;FALSE;;;230600
77;FALSE;;;45540
78;FALSE;;;57960
79;TRUE;10000;3;153000
80;FALSE;;;79.2
81;;;;20000
82;;;;23
83;TRUE;6000;5;7200
84;TRUE;6000;5;12000
85;;;;55440
86;;;;27000
87;;;;30000
88;;;;225000
89;;;;50000
90;FALSE;;;45000
91;FALSE;;;15840
92;FALSE;;;66240
93;FALSE;;;18000
94;FALSE;;;12000
95;FALSE;;;90000
96;FALSE;;;85040
97;FALSE;;;124200
98;FALSE;;;82800
99;FALSE;;;48438
100;FALSE;;;28980
101;;;;25000
102;;;;60
103;;;;15000
104;FALSE;;;12000
105;;;;20000
106;;;;50
107;;;;30
108;;;;2
109;;;;30
110;;;;8000
111;;;;12
112;FALSE;;;30
113;;;;40
114;;;;30
115;;;;50
116;;;;20
117;;;;60
118;;;;30
119;;;;16
120;;;;36
121;;;;
122;;;;24000
123;;;;20
124;;;;30
125;;;;15000
126;;;;20
127;;;;12000
128;;;;27
129;;;;45
130;;;;12
131;;;;14.4
132;;;;10
133;;;;250
134;;;;150
135;;;;25.6
136;;;;15000
137;;;;24
138;;;;5
139;;;;9
140;;;;15
141;;;;5
142;;;;9
143;;;;15
144;;;;5
145;;;;50
146;;;;24
147;;;;14
148;;;;10
149;;;;15
150;;;;30000
151;;;;20
152;;;;5
153;;;;60
154;;;;20
155;;;;6
