ID;G0100;G0101;G0102;G0103;G0104;G0105;G0106;G0108;G0110;G0111;G0112;G0113
1;;;;;;;;;Sem filtro;;;
2;;;;;;;;;Sem filtro;;;
3;;;;;;;;;Sem filtro;;;
4;;;;;;;;;Sem filtro;;;
5;;;;;;;;;Sem filtro;;;
6;;;;;;;;;Sem filtro;;;
7;;;;;;;;;Sem filtro;;;
8;;;;;;;;;Sem filtro;;;
9;;;;;;;;;Sem filtro;;;
10;Poço Tubular;70.00;1.00;12.00;;;;;Sem filtro;;PVC;
11;;;;;;;;;Sem filtro;;;
12;;;;;;;;;Sem filtro;;;
13;;;;;;;;;Sem filtro;;;
14;Poço Tubular;60.00;1.00;12.00;;;;;Sem filtro;;;
15;;;;;;;;;Sem filtro;;;
16;Poço Tubular;45.00;1.00;15.00;;;;;Sem filtro;;Plástico PVC;
17;;;;;;;;;Sem filtro;;;
18;;;;;;;;;Sem filtro;;;
19;;;;;;;;;Sem filtro;;;
20;;;;;;;;;Sem filtro;;;
21;Poço Tubular;75.00;1.5;15.00;;;;;Sem filtro;;Plástico PVC;
22;;;;;;;;;Sem filtro;;;
23;;;;;;;;;Sem filtro;;;
24;;;;;;;;;Sem filtro;;;
25;;;;;;;;;Sem filtro;;;
26;Poço Tubular;100.00;1.00;15.00;;;;;Sem filtro;;;
27;;;;;;;;;Sem filtro;;;
28;;;;;;;;;Sem filtro;;;
29;;;;;;;;;Sem filtro;;;
30;;;;;;;;;Sem filtro;;;
31;;;;;;;;;Sem filtro;;;
32;;;;;;;;;Sem filtro;;;
33;;;;;;;;;Sem filtro;;;
34;;;;;;;;;Sem filtro;;;
35;;;;;;;;;;;;
36;;;;;;;;;Sem filtro;;;
37;;;;;;;;;Sem filtro;;;
38;;;;;;;;;Sem filtro;;;
39;;;;;;;;;Sem filtro;;;
40;;;;;;;;;Sem filtro;;;
41;;;;;;;;;Sem filtro;;;
42;;;;;;;;;Sem filtro;;;
43;;;;;;;;;Sem filtro;;;
44;;;;;;;;;Sem filtro;;;
45;;;;;;;;;Sem filtro;;;
46;;;;;;;;;Sem filtro;;;
47;;;;;;;;;Sem filtro;;;
48;;;;;;;;;Sem filtro;;;
49;;;;;;;;;Sem filtro;;;
50;;;;;;;;;Sem filtro;;;
51;;;;;;;;;Sem filtro;;;
52;;;;;;;;;Sem filtro;;;
53;;;;;;;;;Sem filtro;;;
54;;;;;;;;;Sem filtro;;;
55;;;;;;;;;Sem filtro;;;
56;;;;;;;;;Sem filtro;;;
57;Poço Tubular;80.00;1.00;20.00;;;;;Sem filtro;;;
58;Poço Tubular;70.00;1.00;12.00;;;;;Sem filtro;;;
59;;;;;;;;;Sem filtro;;;
60;;;;;;;;;Sem filtro;;;
61;;;;;;;;;Sem filtro;;;
62;;;;;;;;;Sem filtro;;;
63;;;;;;;;;Sem filtro;;;
64;;;;;;;;;Sem filtro;;;
65;;;;;;;;;Sem filtro;;;
66;;;;;;;;;Sem filtro;;;
67;;;;;;;;;Sem filtro;;;
68;;;;;;;;;Sem filtro;;;
69;;;;;;;;;Sem filtro;;;
70;;;;;;;;;Sem filtro;;;
71;;;;;;;;;Sem filtro;;;
72;;;;;;;;;Sem filtro;;;
73;;;;;;;;;Sem filtro;;;
74;;;;;;;;;Sem filtro;;;
75;;;;;;;;;Sem filtro;;;
76;;;;;;;;;Sem filtro;;;
77;;;;;;;;;Sem filtro;;;
78;;;;;;;;;Sem filtro;;;
79;;;;;;;;;Sem filtro;;;
80;Poço Escavado-Cacimba;5.00;0.3;40.00;;;;;Sem filtro;;;
81;;;;;;;;;Sem filtro;;;
82;;;;;;;;;Sem filtro;;;
83;;;;;;;;;Sem filtro;;;
84;;;;;;;;;Sem filtro;;;
85;;;;;;;;;Sem filtro;;;
86;;;;;;;;;Sem filtro;;;
87;;;;;;;;;Sem filtro;;;
88;;;;;;;;;Sem filtro;;;
89;;;;;;;;;Sem filtro;;;
90;;;;;;;;;Sem filtro;;;
91;;;;;;;;;Sem filtro;;;
92;;;;;;;;;Sem filtro;;;
93;;;;;;;;;Sem filtro;;;
94;;;;;;;;;Sem filtro;;;
95;;;;;;;;;Sem filtro;;;
96;;;;;;;;;Sem filtro;;;
97;;;;;;;;;Sem filtro;;;
98;;;;;;;;;Sem filtro;;;
99;;;;;;;;;Sem filtro;;;
100;;;;;;;;;Sem filtro;;;
101;;;;;;;;;;;;
102;;;;;;;;;;;;
103;Poço Escavado-Cacimba;10.00;0.5;120.00;;;;;;;;
104;Poço Tubular;10.00;0.5;15.00;1.00;10.00;;;;8;Plástico PVC;
105;Poço Tubular;10.00;0.5;8.00;;;;;;8;Plástico PVC;
106;;;;;;;;;;;;
107;;;;;;;;;;;;
108;;;;;;;;;;;;
109;Poço Escavado-Cacimba;12.00;0.5;;;;;;;;;
110;;;;;;;;;;;;
111;;;;;;;;;;;;
112;;;;;;;;;;;;
113;Poço Escavado-Cacimba;;;12.00;1.00;10.00;;;PVC;;Plástico PVC;
114;;;;;;;;;;;;
115;;;;;;;;;;;;
116;;10.00;0.5;;;;;;;;;
117;;;;;;;;;;;;
118;;;;;;;;;;;;
119;;;;;;;;;;;;
120;;;;;;;;;;;;
121;;;;;;;;;;;;
122;;;;;;;;;;;;
123;;;;;;;;;;;;
124;;;;;;;;;;;;
125;;;;;;;;;;;;
126;;;;;;;;;;;;
127;;;;;;;;;;;;
128;;;;;;;;;;;;
129;;;;;;;;;;;;
130;;;;;;;;;;;;
131;;;;;;;;;;;;
132;;;;;;;;;;;;
133;;;;;;;;;;;;
134;;;;;;;;;;;;
135;;;;;;;;;;;;
136;;;;;;;;;;;;
137;;;;;;;;;;;;
138;Poço Tubular;10.00;0.5;8.00;1.00;10.00;;;;8;Plástico PVC;
139;;;;;;;;;;;;
140;;;;;;;;;;;;
141;;;;;;;;;;;;
142;;;;;;;;;;;;
143;;;;;;;;;;;;
144;;;;;;;;;;;;
145;;;;;;;;;;;;
146;;;;;;;;;;;;
147;;;;;;;;;;;;
148;;;;;;;;;;;;
149;;;;;;;;;;;;
150;;;;;;;;;;;;
151;;;;;;;;;;;;
152;Poço Tubular;9.00;0.7;8.00;4.00;9.00;;;PVC;8;PVC;
153;;;;;;;;;;;;
154;;;;;;;;;;;;
155;;;;;;;;;;;;
156;;;;;;;;;;;;
157;Poço Tubular;9.00;0.7;8.00;4.00;9.00;;;PVC;;Plástico PVC;
