CAD;D0000;B0007;D0002;D0003;D0100;D0101
1;AÇUDE ORÓS;16;Não;;-6.250891667;-38.92483333
2;Cacimbão;16;Não;;-6.341936111;-39.001405
3;Açude Pontilhão ;16;;;-6.552705556;-38.15271972
4;AÇUDE ESTREITO;16;Não;;-6.376625;-39.0614
5;Rio Jaguaribe ;16;Sim;;-6.265772222;-38.84194444
6;AÇUDE ORÓS;16;Não;;-6.278569444;-39.00661111
7;CACIMBÃO;16;Não;;-6.313677778;-39.01868833
8;AÇUDE DOS GROSSOS;16;Não;;-6.320861111;-39.05423333
9;AÇUDE ORÓS;16;Não;;-6.283561667;-39.00656944
10;POÇO PROFUNDO;16;Não;;-6.283327778;-39.00653889
11;AÇUDE PARTICULAR;16;Sim;;-6.146430556;-38.87415833
12;AÇUDE OROS;16;Não;;-6.27795;-39.00589444
13;AÇUDE OROS;16;Não;;-6.277294444;-39.00457222
14;;16;;;-6.317151667;-39.03281389
15;AÇUDE PARTICULAR;16;Sim;;-6.141044444;-38.87447222
16;POÇO PROFUNDO;16;Não;;-6.276769444;-38.99928056
17;AÇUDE COBIÇADO;16;Não;;-6.141155556;-38.86502778
18;AÇUDE ORÓS;16;Não;;-6.274266667;-38.99987778
19;AÇUDE ORÓS;16;Não;;-6.276608333;-39.00355
20;AÇUDE ORÓS;16;Não;;-6.308886111;-38.947675
21;POÇO PROFUNDO;16;Não;;-6.307177778;-38.94750833
22;CANAL OROS LIMA CAMPOS;16;Não;;-6.373294444;-39.00009333
23;CANAL OROS LIMA CAMPOS;16;Não;;-6.373316667;-39.000085
24;AÇUDE PARTICULAR SITIO CABAÇAS;16;Não;;-6.315161111;-39.00560278
25;AÇUDE PONTILHÃO;16;Não;;-6.470241667;-38.997575
26;POÇO PROFUNDO CABEÇA DE NEGRO;16;Não;;-6.361244444;-39.07900833
27;AÇUDE PONTILHÃO;16;Sim;99856/2022;;
28;AÇUDE PONTILHÃO;16;Sim;101075/2022;;
29;AÇUDE JOVILIANO;16;;;-6.366183333;-39.08182778
30;AÇUDE DAMIAO OLIMPIO;16;;;-6.330497222;-38.962925
31;AÇUDE VELHO DO SÃO ROMÃO;16;;;-6.363519444;-39.01992778
32;AÇUDE ORÓS;16;;;-6.206002778;-38.93825556
33;AÇUDE ORÓS;16;;;-6.191975;-38.94173611
34;AÇUDE ORÓS;16;;;-6.201585;-38.93988611
35;AÇUDE ORÓS;16;;;-6.183241667;-38.93965833
36;AÇUDE ORÓS;16;;;-6.182919444;-38.94221667
37;AÇUDE ORÓS;16;;;-6.183625;-38.94491944
38;RIO JAGUARIBE;16;;;-6.240733333;-38.891525
39;AÇUDE DA CABEÇA DE NEGRO;16;;;-6.361244444;-39.07900833
40;;16;;;-6.234521667;-39.013475
41;POÇO JOAO MARTINS;16;;;-6.330619444;-39.033785
42;AÇUDE VELHO DO SÃO ROMÃO;16;;;-6.363341667;-39.01869833
43;CANAL ORÓS LIMA CAMPOS;16;Sim;99844/2022;-6.372516667;-38.99671389
44;CANAL OROS LIMA CAMPOS;16;Não;;-6.37255;-38.996725
45;CANAL OROS LIMA CAMPOS;16;Não;;-6.362341667;-38.97943889
46;CANAL OROS LIMA CAMPOS;16;Não;;-6.362255556;-38.97960833
47;CANAL OROS LIMA CAMPOS;16;Não;;-6.362341667;-38.97943889
48;CANAL OROS LIMA CAMPOS;16;Não;;-6.362402778;-38.98632222
49;AÇUDE ORÓS;16;Não;;-6.287516667;-39.03724722
50;RIACHO DAS TROPAS;16;Não;;-6.314794444;-39.01844667
51;POÇO LUIZ;16;Não;;-6.325725;-39.02590278
52;CANAL ORÓS-LIMA CAMPOS;16;Não;;-6.368675;-38.985945
53;CANAL OROS LIMA CAMPOS;16;Não;;-6.353141667;-38.98210278
54;CANAL ORÓS LIMA CAMPOS;16;Não;;-6.336338889;-38.978575
55;CANAL OROS LIMA CAMPOS;16;Não;;-6.336338889;-38.978575
56;CANAL ORÓS LIMA CAMPOS;16;Não;;-6.24705;-38.86528333
57;;16;;;-6.321038889;-39.031925
